question_id,lesson_id,subject_id,type,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,xp,order_index,is_active
1,1,1,mcq,What is x if x + 3 = 5?,1,2,3,4,B,Subtract 3 from both sides to find x.,easy,10,1,true
2,1,1,mcq,Which symbol represents a variable?,3,x,5,7,B,A variable represents an unknown value.,easy,10,2,true
3,1,1,mcq,Solve: x − 4 = 6,8,9,10,11,C,Add 4 to both sides to isolate x.,easy,10,3,true
4,1,1,mcq,What does an equation show?,A value,A question,Balance of expressions,A graph,C,An equation shows two expressions are equal.,easy,10,4,true
5,1,1,mcq,Which is an equation?,x + 3,5 + 2 = 7,4y,3z,B,An equation must have an equals sign.,easy,10,5,true

6,2,1,mcq,Solve: 2x = 10,3,4,5,6,C,Divide both sides by 2.,medium,10,1,true
7,2,1,mcq,What is the first step to solve 3x + 2 = 11?,Add 2,Subtract 2,Multiply 3,Divide 11,B,Subtract 2 from both sides first.,medium,10,2,true
8,2,1,mcq,Solve: x/4 = 3,7,12,4,1,B,Multiply both sides by 4.,medium,10,3,true
9,2,1,mcq,Which equation has solution x = 4?,x + 1 = 6,2x = 8,x − 3 = 0,x/2 = 1,B,Substitute x = 4 to check.,medium,10,4,true
10,2,1,mcq,What does solving an equation mean?,Guessing values,Finding x,Drawing graph,Writing formula,B,Solving means finding the unknown value.,medium,10,5,true

11,3,1,mcq,How many variables are in simultaneous equations?,1,2,3,4,B,Simultaneous equations involve two variables.,medium,10,1,true
12,3,1,mcq,Which method eliminates a variable?,Substitution,Guessing,Estimation,Plotting,A,Substitution replaces one variable with another.,medium,10,2,true
13,3,1,mcq,What is the goal when solving simultaneous equations?,Find both variables,Find one number,Draw graph,Memorise formula,A,Both variable values must be found.,medium,10,3,true
14,3,1,mcq,Which is a pair of simultaneous equations?,x+2=5,x+y=7 and y=3,x=5,3+4=7,B,They must share the same variables.,medium,10,4,true
15,3,1,mcq,Which method uses graphs?,Substitution,Elimination,Graphing,Division,C,Graphing shows where lines intersect.,medium,10,5,true

16,4,2,mcq,Which is a noun?,Run,Happy,Book,Quickly,C,A noun names a person or a place or a thing.,easy,10,1,true
17,4,2,mcq,Which is a verb?,Chair,Blue,Jump,Soft,C,A verb shows an action.,easy,10,2,true
18,4,2,mcq,Which is an adjective?,Run,Happiness,Tall,Speak,C,An adjective describes a noun.,easy,10,3,true
19,4,2,mcq,Which word is a pronoun?,Alex,She,Book,School,B,A pronoun replaces a noun.,easy,10,4,true
20,4,2,mcq,Which part of speech joins words?,Noun,Verb,Conjunction,Adverb,C,Conjunctions join words or clauses.,easy,10,5,true

21,5,2,mcq,What is a sentence?,A word,A group of words,A complete idea,A paragraph,C,A sentence expresses a complete thought.,medium,10,1,true
22,5,2,mcq,Which sentence is correct?,He go school,He goes school,He goes to school,He going school,C,Correct grammar requires subject-verb agreement.,medium,10,2,true
23,5,2,mcq,What must a sentence have?,Verb only,Noun only,Subject and verb,Punctuation only,C,A sentence needs both subject and verb.,medium,10,3,true
24,5,2,mcq,Which is a question sentence?,I like apples.,Close the door.,What is your name?,She runs fast.,C,Questions ask for information.,medium,10,4,true
25,5,2,mcq,What punctuation ends a statement?,Question mark,Comma,Full stop,Exclamation mark,C,Statements end with a full stop.,medium,10,5,true

